OBJECTID,type,crash/near-miss date,crash/near-miss mode,crash/near-miss time of day,mode involved,e-scooter involved,Was anyone injured?,crash cause,crash narrative,nearmiss cause,nearmiss narrative,police,unsafe location mode,unsafe location time of day,unsafe location cause,unsafe location narrative,safe location mode,safe location cause,safe location narrative,mobility device,e-bike,e-scooter,improvement,improvement narrative,address,report date,latitude,longitude,type,coordinates
738,positive,,,,,,,,,,,,,,,,"walk, bike",good-bikelane,,,,,"benches, community, other",,"818-898 Bronte Ave, Watsonville, CA, 95076, USA",10/8/2020,36.92245929,-121.7340524,LineString,"[[-121.742935,36.934457],[-121.741476,36.933771],[-121.740103,36.933016],[-121.738129,36.933016],[-121.736841,36.932124],[-121.735811,36.93137],[-121.73521,36.930546],[-121.736155,36.928831],[-121.735811,36.927802],[-121.734438,36.926224],[-121.733494,36.924989],[-121.733494,36.922793],[-121.732378,36.921352],[-121.733494,36.918813],[-121.736326,36.917303],[-121.74036,36.916754],[-121.742678,36.916068],[-121.744223,36.913941],[-121.745081,36.912706]]"
739,nearMiss,Feb-20,bike,day,driver,,none,,,"poor-bikelane, unsafe-speed",,,,,,,,,,,no,,"speed, enforcement, other",,"436 Main St, Watsonville, CA, 95076, USA",10/8/2020,36.911176,-121.757422,LineString,"[[-121.761518,36.915073],[-121.759844,36.913186],[-121.756883,36.910269],[-121.753492,36.907215]]"
740,positive,,,,,,,,,,,,,,,,walk,good-bikelane,,,,,"lighting, other",,"300-328 Clifford Ave, Watsonville, CA, 95076, USA",10/8/2020,36.9218024,-121.7759199,LineString,"[[-121.776259,36.919225],[-121.777353,36.919053],[-121.777654,36.919053],[-121.777825,36.919585],[-121.777675,36.920031],[-121.777396,36.920357],[-121.777031,36.920563],[-121.776967,36.920957],[-121.77671,36.921472],[-121.776474,36.922021],[-121.776345,36.922621],[-121.776259,36.923273],[-121.776216,36.923891],[-121.77613,36.924285],[-121.775959,36.924577],[-121.776366,36.924697],[-121.776409,36.92492],[-121.776216,36.925332],[-121.776152,36.92564],[-121.776388,36.925915],[-121.776645,36.925966]]"
741,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-street, driving-speed",,,,,,,,"speed, bikelane, enforcement",,"1605-1617 Freedom Blvd, Freedom, CA, 95019, USA",10/8/2020,36.93248069,-121.770519,LineString,"[[-121.781473,36.940494],[-121.777911,36.938436],[-121.773362,36.935074],[-121.771131,36.933153],[-121.768126,36.930272],[-121.764565,36.926395],[-121.761389,36.923102]]"
742,unsafe,,,,,,,,,,,,"walk, bike, ride","day, night","poor-sidewalk, driving-speed",,,,,,,,"speed, sidewalk, bikelane, signs, enforcement",,"494 4th St E, Sonoma, CA, 95476, USA",10/9/2020,38.29128402,-122.449612,LineString,"[[-122.463398,38.292497],[-122.435589,38.289802]]"
743,positive,,,,,,,,,,,,,,,,"walk, bike, skateboard, ride",good-lighting,,,,,speed,,"218-318 California Blvd, San Luis Obispo, CA, 93405, USA",10/11/2020,35.29432758,-120.6631799,LineString,"[[-120.661597,35.292448],[-120.664816,35.296161]]"
744,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane, driving-speed",,,,,,,,"speed, bikelane, lighting",,"3001-3033 Porter Gulch Rd, Aptos, CA, 95003, USA",10/12/2020,36.99036416,-121.9295904,LineString,"[[-121.994505,36.983426],[-121.989956,36.98562],[-121.987553,36.986032],[-121.986244,36.987008],[-121.9856,36.987728],[-121.983218,36.988585],[-121.981266,36.989151],[-121.980171,36.989082],[-121.978197,36.988602],[-121.974614,36.988191],[-121.969957,36.987728],[-121.967082,36.987128],[-121.965044,36.987454],[-121.962147,36.987951],[-121.959379,36.987694],[-121.958649,36.987728],[-121.955194,36.98886],[-121.953907,36.98874],[-121.953177,36.988294],[-121.952512,36.987506],[-121.951139,36.987146],[-121.949701,36.987368],[-121.946247,36.987745],[-121.942792,36.9879],[-121.939509,36.987814],[-121.937985,36.988157],[-121.935625,36.989185],[-121.930926,36.990591],[-121.929595,36.990368],[-121.92893,36.989802],[-121.928136,36.989288],[-121.925046,36.988311],[-121.921763,36.98766],[-121.920347,36.987008],[-121.915176,36.984437],[-121.910005,36.981781],[-121.908224,36.979655],[-121.905799,36.977067],[-121.904876,36.976587],[-121.903996,36.976278],[-121.902966,36.976604],[-121.901979,36.977238],[-121.900907,36.97717],[-121.899834,36.976535],[-121.89904,36.975987],[-121.898246,36.975781],[-121.897259,36.975575],[-121.895585,36.975764],[-121.89522,36.975935],[-121.894362,36.975678],[-121.893632,36.975473],[-121.890607,36.975661],[-121.888418,36.975713],[-121.886573,36.975627],[-121.886165,36.975747],[-121.885865,36.976073],[-121.885607,36.976347],[-121.885242,36.976535],[-121.885006,36.976467],[-121.885178,36.976158],[-121.885478,36.975661],[-121.885285,36.975284],[-121.884363,36.974684],[-121.881337,36.973638],[-121.879385,36.973073],[-121.875072,36.97153],[-121.873934,36.971273],[-121.872926,36.971358],[-121.872175,36.97165],[-121.871831,36.972027],[-121.871574,36.972147]]"
745,unsafe,,,,,,,,,,,,"walk, bike, transit","day, night","poor-sidewalk, poor-bikelane, driving-speed, other",,,,,,,,"speed, bikelane, lighting, other",,"Soquel Dr, Aptos, CA, 95003, USA",10/12/2020,36.98857554,-121.9259519,LineString,"[[-121.929553,36.990299],[-121.928201,36.989237],[-121.925669,36.988517],[-121.921828,36.987643]]"
746,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, driving-speed",,,,,,,,"speed, bikelane, lighting",,"2200-2298 Brommer St, Santa Cruz, CA, 95062, USA",10/12/2020,36.97036097,-121.9803654,LineString,"[[-121.995717,36.97249],[-121.994494,36.97207],[-121.993464,36.972053],[-121.991469,36.972078],[-121.989205,36.972061],[-121.985986,36.97135],[-121.980171,36.97039],[-121.975558,36.969721],[-121.974421,36.970021],[-121.97368,36.970227],[-121.973047,36.970261],[-121.970934,36.970261],[-121.967307,36.970278],[-121.965784,36.970218],[-121.96485,36.970218]]"
747,nearMiss,Jul-20,walk,day,driver,,none,,,"poor-sidewalk, poor-lighting, poor-sign",,,,,,,,,,,,,"sidewalk, crosswalks, benches, other",,"Prosperity Bank, 1910 Freedom Blvd, Freedom, CA, 95019, USA",10/13/2020,36.93574,-121.77367,LineString,"[[-121.796515790783,36.9523334751872],[-121.753943790784,36.9188543427012]]"
748,incident,,walk,,,,,,,,,,,,,,,,,,,,,,"1245 Sanders Ct, Santa Cruz, CA, 95062, USA",10/13/2020,36.971628,-121.983095,LineString,"[[-121.977832,36.978824],[-121.980439,36.977924],[-121.981544,36.975515],[-121.982392,36.973733],[-121.982607,36.97273],[-121.983336,36.971093],[-121.984988,36.969241],[-121.983401,36.971067],[-121.984538,36.971161],[-121.983325,36.971093],[-121.983422,36.971015],[-121.98074,36.97123]]"
749,unsafe,,,,,,,,,,,,bike,,poor-street,,,,,,,,other,,"1010 17th Ave, Santa Cruz, CA, 95062, USA",10/13/2020,36.96930001,-121.984601,LineString,"[[-121.984956,36.968941],[-121.984838,36.969781]]"
750,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-lighting, driving-speed",,,,,,,,"speed, bikelane, lighting, education",,"2400-2698 Robertson St, Soquel, CA, 95073, USA",10/14/2020,36.98538678,-121.9604619,LineString,"[[-121.960537,36.98766],[-121.960387,36.987128],[-121.960409,36.986786],[-121.960452,36.985826],[-121.960623,36.984815],[-121.960559,36.984266],[-121.960173,36.983718],[-121.960022,36.983443],[-121.959958,36.983238]]"
751,positive,,,,,,,,,,,,,,,,bike,"safe-speed, car-traffic",,,,,bikelane,,"1500-1798 Harper St, Santa Cruz, CA, 95062, USA",10/14/2020,36.97405074,-121.9850578,LineString,"[[-121.980836,36.973535],[-121.982467,36.973638],[-121.984355,36.973964],[-121.987274,36.974564],[-121.988411,36.974855],[-121.989183,36.974975]]"
752,unsafe,,,,,,,,,,,,bike,"day, night","poor-lighting, poor-sign",,,,,,,,"speed, bikelane, signs, crosswalks",,"1743-1809 Chanticleer Ave, Santa Cruz, CA, 95062, USA",10/14/2020,36.97690244,-121.9804104,LineString,"[[-121.98103,36.968718],[-121.980901,36.972078],[-121.980987,36.97369],[-121.980858,36.974993],[-121.980085,36.977907],[-121.979613,36.979552],[-121.979356,36.980547],[-121.97897,36.983666],[-121.979012,36.985003]]"
753,positive,,,,,,,,,,,,,,,,bike,"safe-speed, car-traffic, good-lighting",,,,,bikelane,,"854 Eddy Ln, Santa Cruz, CA, 95062, USA",10/14/2020,36.97452399,-121.991887,LineString,"[[-121.989312,36.975027],[-121.989913,36.97525],[-121.990514,36.97525],[-121.990814,36.97525],[-121.991072,36.974924],[-121.991372,36.974667],[-121.991522,36.974564],[-121.993947,36.975935]]"
754,unsafe,,,,,,,,,,,,"walk, bike, other","day, night","poor-sidewalk, poor-bikelane, poor-lighting",,,,,,,,"sidewalk, bikelane, lighting, crosswalks",,"2976-2994 E Cliff Dr, Santa Cruz, CA, 95062, USA",10/16/2020,36.96269581,-121.9954597,LineString,"[[-121.997466,36.962649],[-121.996565,36.961655],[-121.996264,36.961792],[-121.995921,36.962169],[-121.995277,36.96306],[-121.994505,36.963712],[-121.993775,36.964329],[-121.993175,36.964226]]"
755,unsafe,,,,,,,,,,,,"walk, bike, other","day, night","poor-sidewalk, poor-bikelane, poor-lighting",,,,,,,,"sidewalk, bikelane, lighting, crosswalks",,"2976-2994 E Cliff Dr, Santa Cruz, CA, 95062, USA",10/16/2020,36.96269581,-121.9954597,LineString,"[[-121.997466,36.962649],[-121.996565,36.961655],[-121.996264,36.961792],[-121.995921,36.962169],[-121.995277,36.96306],[-121.994505,36.963712],[-121.993775,36.964329],[-121.993175,36.964226]]"
756,unsafe,,,,,,,,,,,,"walk, bike, other","day, night","poor-sidewalk, poor-bikelane",,,,,,,,"sidewalk, bikelane, lighting",,"4900-4910 Cliff Dr, Capitola, CA, 95010, USA",10/16/2020,36.96968532,-121.9558463,LineString,"[[-121.95748,36.968658],[-121.955817,36.969772],[-121.954572,36.971007]]"
757,unsafe,,,,,,,,,,,,"walk, bike, other","day, night","poor-sidewalk, poor-bikelane",,,,,,,,"sidewalk, bikelane, lighting",,"2901-2935 E Cliff Dr, Santa Cruz, CA, 95062, USA",10/16/2020,36.96211292,-121.9959456,LineString,"[[-121.998346,36.963009],[-121.997101,36.962426],[-121.996522,36.961826],[-121.995835,36.96222],[-121.995363,36.96306],[-121.994226,36.964089]]"
758,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane, poor-lighting, driving-speed",,,,,,,,"speed, sidewalk, bikelane, lighting",,"Empire Grade, Santa Cruz, CA, 95060, USA",10/16/2020,36.98419415,-122.0656456,LineString,"[[-122.060165,36.980786],[-122.061796,36.982089],[-122.064414,36.98346],[-122.067161,36.985312],[-122.068276,36.986751],[-122.069221,36.988877]]"
759,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane, poor-lighting",,,,,,,,"sidewalk, bikelane, lighting",,"95017, Davenport, CA, USA",10/16/2020,37.01330065,-122.1968722,LineString,"[[-122.198278,37.014007],[-122.195467,37.012594]]"
760,nearMiss,Feb-20,walk,day,driver,,none,,,"poor-sidewalk, unsafe-speed",,,,,,,,,,,,,sidewalk,,"2901-2935 E Cliff Dr, Santa Cruz, CA, 95062, USA",10/18/2020,36.96227778,-121.9958514,LineString,"[[-121.993497,36.964379],[-121.994752,36.9639],[-121.995084,36.963557],[-121.995964,36.961989],[-121.996307,36.96181],[-121.996887,36.962015],[-121.997337,36.962632],[-121.99856,36.963197]]"
761,unsafe,,,,,,,,,,,,walk,day,"poor-sidewalk, poor-bikelane, driving-speed",,,,,,,,"speed, bikelane, other",,"7361 W End Rd, Arcata, CA, 95521, USA",10/19/2020,40.90627,-124.05378,LineString,"[[-124.069805,40.908388],[-124.068882,40.908632],[-124.068024,40.909345],[-124.065557,40.909637],[-124.064462,40.909637],[-124.063518,40.910042],[-124.061909,40.909069],[-124.059076,40.906685],[-124.058433,40.906426],[-124.056051,40.906475],[-124.054742,40.90628],[-124.053175,40.90675],[-124.048948,40.906507],[-124.047511,40.905712],[-124.046223,40.903766],[-124.044936,40.903685],[-124.044034,40.903361],[-124.042726,40.903491],[-124.040644,40.903701],[-124.037318,40.903474],[-124.037147,40.903345]]"
762,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane, poor-street, poor-lighting, obstacle, no-yield, driving-speed",,,,,,,,"speed, sidewalk, bikelane, enforcement, community",,"16365 Canyon View Dr, Riverside, CA, 92504, USA",10/19/2020,33.88180599,-117.388692,LineString,"[[-117.405138,33.884097],[-117.402606,33.88171],[-117.400718,33.880927],[-117.399001,33.88082],[-117.394538,33.881212],[-117.388101,33.882209],[-117.370634,33.882387]]"
763,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane",,,,,,,,"sidewalk, bikelane",,"CA-255, Arcata, CA, 95521, USA",10/19/2020,40.86272451,-124.0828995,LineString,"[[-124.086258,40.864572],[-124.085153,40.863692],[-124.084353,40.86316],[-124.083838,40.862986],[-124.083774,40.862945],[-124.082835,40.862743],[-124.081339,40.86239],[-124.079579,40.862045],[-124.078919,40.861943],[-124.078807,40.861935]]"
764,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane",,,,,,,,"sidewalk, bikelane",,"US-101 N, Arcata, CA, 95521, USA",10/19/2020,40.89502843,-124.0820706,LineString,"[[-124.081886,40.898463],[-124.081414,40.897895],[-124.082229,40.897295],[-124.082401,40.896581],[-124.08165,40.8947],[-124.080555,40.892997],[-124.080362,40.892656],[-124.080019,40.891667]]"
765,unsafe,,,,,,,,,,,,walk,"day, night",driving-speed,,,,,,,,"sidewalk, bikelane, crosswalks, benches, enforcement",,"2200-2236 Delaware Ave, Santa Cruz, CA, 95060, USA",10/22/2020,36.95501046,-122.0551961,LineString,"[[-122.061946,36.95459],[-122.048471,36.955688]]"
766,unsafe,,,,,,,,,,,,"walk, bike",day,"poor-sidewalk, poor-street, obstacle, driving-speed",,,,,,,,"speed, bikelane, pavement, community",,"589-649 Calabasas Rd, Watsonville, CA, 95076, USA",10/24/2020,36.95688612,-121.8123017,LineString,"[[-121.827006,36.964123],[-121.825204,36.963506],[-121.823659,36.963403],[-121.822629,36.963129],[-121.821599,36.96306],[-121.820483,36.961723],[-121.816406,36.961586],[-121.814647,36.959391],[-121.814733,36.957265],[-121.812243,36.956888],[-121.809926,36.95507],[-121.808424,36.954384],[-121.801944,36.948691],[-121.798124,36.94557]]"
767,unsafe,,,,,,,,,,,,bike,day,obstacle,,,,,,,,"bikelane, community",,"108 Calabasas Rd, Watsonville, CA, 95076, USA",10/24/2020,36.942628,-121.790809,LineString,"[[-121.794562,36.943993],[-121.787782,36.941146]]"
768,unsafe,,,,,,,,,,,,bike,day,"poor-bikelane, driving-speed",,,,,,,,"speed, bikelane, enforcement",,"1357-1399 Old Canyon Rd, Fremont, CA, 94536, USA",10/27/2020,37.5907346,-121.9561863,LineString,"[[-121.947384,37.598048],[-121.965065,37.583494]]"
769,unsafe,,,,,,,,,,,,bike,day,obstacle,,,,,,,,other,,"CA-84 E, Menlo Park, CA, 94025, USA",10/27/2020,37.50472006,-122.1202099,LineString,"[[-122.11132,37.509726],[-122.128487,37.499104]]"
770,unsafe,,,,,,,,,,,,bike,day,"driving-speed, other",,,,,,,,"enforcement, other",,"Teague Hill Open Space, Kings Mountain Rd, Redwood City, CA, 94062, USA",10/27/2020,37.42729731,-122.285471,LineString,"[[-122.267189,37.426752],[-122.303753,37.427843]]"
771,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-bikelane, poor-lighting, no-yield, driving-speed",,,,,,,,"bikelane, lighting, crosswalks, enforcement",,"445 Martinelli St, Watsonville, CA, 95076, USA",10/29/2020,36.92661702,-121.754256,LineString,"[[-121.746883,36.924371],[-121.746197,36.925057],[-121.755209,36.92691],[-121.763277,36.925126]]"
772,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-lighting, no-yield, driving-speed",,,,,,,,"bikelane, lighting, crosswalks, education, enforcement, community",,"2546 Freedom Blvd, Watsonville, CA, 95076, USA",10/29/2020,36.95071398,-121.793711,LineString,"[[-121.752548,36.913666],[-121.834946,36.98802]]"
773,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, driving-speed",,,,,,,,"bikelane, lighting, education, enforcement, community",,"Bronte Park, Bronte Ave, Watsonville, CA, 95076, USA",10/29/2020,36.91848,-121.74292,LineString,"[[-121.738987,36.924714],[-121.74654,36.912431]]"
774,unsafe,,,,,,,,,,,,wheelchair,"day, night",obstacle,,,,,,,,bikelane,,"1922 Freedom Blvd, Freedom, CA, 95019, USA",10/29/2020,36.93608299,-121.774174,LineString,"[[-121.753715278617,36.9189231698254],[-121.797232278617,36.9529512737606]]"
775,unsafe,,,,,,,,,,,,walk,"day, night","poor-sign, no-yield, driving-speed",,,,,,,,"signs, crosswalks",,"Delaware Ave, Santa Cruz, CA, 95060, USA",10/30/2020,36.95702072,-122.0378082,LineString,"[[-122.037805,36.957027],[-122.037806,36.957008]]"
776,unsafe,,,,,,,,,,,,walk,"day, night","poor-sidewalk, poor-bikelane, poor-street, poor-lighting, poor-sign, no-yield, driving-speed",,,,,,,,"speed, sidewalk, bikelane, signs, crosswalks, education, enforcement",,"1712 Delaware Ave, Santa Cruz, CA, 95060, USA",10/30/2020,36.95645198,-122.043525,LineString,"[[-122.060582,36.954294],[-122.03063,36.958065],[-122.029772,36.958545],[-122.029515,36.961014]]"
777,unsafe,,,,,,,,,,,,bike,"day, night",obstacle,,,,,,,,other,,"2101-2299 40th Ave, Santa Cruz, CA, 95062, USA",10/30/2020,36.97967627,-121.9660623,LineString,"[[-121.969571,36.982758],[-121.971717,36.983203],[-121.970859,36.983006],[-121.973058,36.983512],[-121.974517,36.983915],[-121.975815,36.984206],[-121.976792,36.984472],[-121.977392,36.98454],[-121.978154,36.984755],[-121.979281,36.985055],[-121.98016,36.985286],[-121.981094,36.985492],[-121.980686,36.985372],[-121.982317,36.9858],[-121.983583,36.986117],[-121.984452,36.986314],[-121.98531,36.986511],[-121.981212,36.985509]]"
778,unsafe,,,,,,,,,,,,walk,"day, night",poor-sidewalk,,,,,,,,sidewalk,,"201-231 Isbel Dr, Santa Cruz, CA, 95060, USA",10/30/2020,36.99285766,-122.0130804,LineString,"[[-122.013077,36.993427],[-122.013023,36.992827],[-122.012658,36.992407]]"
779,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night",driving-speed,,,,,,,,"speed, enforcement",,"151-187 Branciforte Dr, Santa Cruz, CA, 95060, USA",10/30/2020,36.99238222,-122.0113382,LineString,"[[-122.012476,36.990222],[-122.011371,36.992202],[-122.011403,36.993727],[-122.011768,36.994687]]"
780,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-bikelane, poor-street, poor-lighting, driving-speed",,,,,,,,"speed, bikelane, lighting, signs",,"1301-1399 Bonita Dr, Aptos, CA, 95003, USA",10/30/2020,36.96434536,-121.8687083,LineString,"[[-121.864643,36.957437],[-121.86799,36.961963],[-121.868248,36.964844],[-121.873741,36.969781]]"
781,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-sign, driving-speed",,,,,,,,"bikelane, pavement, signs",,"305 Arthur Ave, Aptos, CA, 95003, USA",10/30/2020,36.96719301,-121.89178,LineString,"[[-121.896358,36.97105],[-121.887689,36.963266]]"
782,unsafe,,,,,,,,,,,,"walk, bike, scooter, ride","day, night","poor-bikelane, driving-speed, other",,,,,,,,"sidewalk, bikelane, signs, education, enforcement",,"4801 Thurber Ln, Santa Cruz, CA, 95065, USA",11/2/2020,36.99818799,-121.975687,LineString,"[[-121.979141,36.98898],[-121.977339,36.995081],[-121.975965,36.996383],[-121.975193,36.998508],[-121.973991,37.000428],[-121.974764,37.001045],[-121.975536,37.00221],[-121.975794,37.004061],[-121.976223,37.005569],[-121.975965,37.006734]]"
783,unsafe,,,,,,,,,,,,"walk, bike, ride","day, night","no-yield, driving-speed",,,,,,,,speed,,"217-299 Pestana Ave, Santa Cruz, CA, 95065, USA",11/2/2020,36.99861882,-121.9774152,LineString,"[[-121.977135,36.999647],[-121.977585,36.997563]]"
784,unsafe,,,,,,,,,,,,,,,,,,,,,,,,"4600-4998 Thurber Ln, Santa Cruz, CA, 95065, USA",11/3/2020,36.99743466,-121.9753516,LineString,"[[-121.979163,36.988744],[-121.978481,36.989747],[-121.978272,36.991422],[-121.978165,36.991645],[-121.977961,36.992519],[-121.977516,36.99311],[-121.977242,36.995038],[-121.976877,36.994785],[-121.975788,36.9964],[-121.975214,36.998037],[-121.974281,36.999725],[-121.973943,37.000856],[-121.974662,37.001392],[-121.975713,37.003996],[-121.975762,37.005749],[-121.975719,37.006742]]"
785,unsafe,,,,,,,,,,,,"walk, bike, ride","day, night","poor-sidewalk, poor-bikelane, poor-sign, other",,,,,,,,sidewalk,,"100-128 Goss Ave, Santa Cruz, CA, 95065, USA",11/4/2020,36.98997142,-122.0114509,LineString,"[[-122.010443,36.989755],[-122.011558,36.990055],[-122.012267,36.990089],[-122.01247,36.990154]]"
786,unsafe,,,,,,,,,,,,walk,"day, night","poor-sidewalk, obstacle",,,,,,,,"sidewalk, pavement, other",,"101 Grunewald Ct, Santa Cruz, CA, 95065, USA",11/4/2020,36.99096799,-122.011783,LineString,"[[-122.012444,36.990188],[-122.011435,36.991833]]"
787,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-street, poor-sign, obstacle",,,,,,,,"bikelane, pavement",,"Water St, Santa Cruz, CA, 95060, USA",11/4/2020,36.97957835,-122.0212992,LineString,"[[-122.021182,36.979608],[-122.021407,36.979587]]"
788,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane, obstacle, other",,,,,,,,"sidewalk, bikelane",,"250-288 Delaveaga Park Dr, Santa Cruz, CA, 95065, USA",11/4/2020,36.99171358,-122.0040631,LineString,"[[-122.004657,36.991662],[-122.003917,36.991771],[-122.003665,36.991833],[-122.003512,36.99191]]"
789,unsafe,,,,,,,,,,,,"walk, bike","day, night",,,,,,,,,"bikelane, other",,"136 Market St, Santa Cruz, CA, 95060, USA",11/4/2020,36.98160498,-122.018725,LineString,"[[-122.018983,36.982398],[-122.018972,36.982162],[-122.018688,36.981901],[-122.018473,36.981661],[-122.018425,36.981399],[-122.018634,36.981048],[-122.018811,36.980795]]"
790,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane",,,,,,,,"sidewalk, bikelane",,"Buena Vista Ave, Santa Cruz, CA, 95062, USA",11/4/2020,36.96712005,-122.0128299,LineString,"[[-122.011843,36.966112],[-122.012336,36.966224],[-122.012637,36.966712],[-122.013141,36.967381],[-122.013634,36.96835]]"
791,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sign, no-yield",,,,,,,,"signs, crosswalks",,"100-116 Hiawatha Ave, Santa Cruz, CA, 95062, USA",11/4/2020,36.96673541,-122.0125397,LineString,"[[-122.01258,36.966781],[-122.012527,36.966796]]"
792,unsafe,,,,,,,,,,,,bike,"day, night","poor-sidewalk, poor-bikelane, obstacle",,,,,,,,bikelane,,"140 Grandview St, Santa Cruz, CA, 95060, USA",11/4/2020,36.96131998,-122.056535,LineString,"[[-122.056499,36.961129],[-122.05666,36.961129]]"
793,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane, poor-sign",,,,,,,,crosswalks,,"438-498 Market St, Santa Cruz, CA, 95060, USA",11/4/2020,36.98568073,-122.0149547,LineString,"[[-122.015013,36.985749],[-122.014954,36.985704]]"
794,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, obstacle",,,,,,,,crosswalks,,"200-202 Market St, Santa Cruz, CA, 95060, USA",11/4/2020,36.98241273,-122.0190882,LineString,"[[-122.019176,36.982413],[-122.019128,36.982413]]"
795,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-sign, other",,,,,,,,"sidewalk, bikelane, other",,"Ross Dress For Less, 650 River St, Santa Cruz, CA, 95060, USA",11/4/2020,36.98328,-122.02966,LineString,"[[-122.029524,36.982201],[-122.02961,36.982492],[-122.029588,36.984052]]"
796,unsafe,,,,,,,,,,,,"walk, bike, other","day, night","poor-sidewalk, poor-bikelane, obstacle, other",,,,,,,,"sidewalk, bikelane",,"704 River St, Santa Cruz, CA, 95060, USA",11/4/2020,36.984384,-122.028298,LineString,"[[-122.027947,36.984249],[-122.028118,36.984472],[-122.029599,36.98406]]"
797,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane, other",,,,,,,,"sidewalk, bikelane, crosswalks, other",,"134 May Ave, Santa Cruz, CA, 95062, USA",11/4/2020,36.97637199,-122.018398,LineString,"[[-122.018693,36.97655],[-122.018672,36.976353]]"
798,unsafe,,,,,,,,,,,,"walk, bike, other","day, night","poor-sidewalk, poor-bikelane, obstacle, other",,,,,,,,bikelane,,"601-615 Water St, Santa Cruz, CA, 95060, USA",11/4/2020,36.98057602,-122.0186786,LineString,"[[-122.01843,36.980495],[-122.018924,36.980649]]"
799,unsafe,,,,,,,,,,,,bike,"day, night","poor-sidewalk, poor-bikelane, obstacle",,,,,,,,"sidewalk, bikelane, crosswalks",,"100-1198 Shaffer Rd, Santa Cruz, CA, 95060, USA",11/4/2020,36.95787944,-122.0624682,LineString,"[[-122.062526,36.957762],[-122.062333,36.958311]]"
800,unsafe,,,,,,,,,,,,"walk, bike","day, night","poor-sidewalk, poor-bikelane, other",,,,,,,,"sidewalk, bikelane",,"116 English Dr, Santa Cruz, CA, 95065, USA",11/4/2020,36.98949399,-121.98904,LineString,"[[-121.98869,36.990968],[-121.988647,36.989322],[-121.988175,36.989322],[-121.987574,36.989391],[-121.986566,36.989374]]"
801,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, other",,,,,,,,bikelane,,"1701-1999 Graham Hill Rd, Santa Cruz, CA, 95060, USA",11/4/2020,37.02279288,-122.0371243,LineString,"[[-122.06274,37.045998],[-122.060852,37.045587],[-122.058449,37.046957],[-122.051067,37.042847],[-122.045403,37.041339],[-122.041626,37.03531],[-122.036819,37.021743],[-122.034245,37.015027],[-122.033901,37.005843],[-122.029095,36.997754],[-122.028065,36.991996],[-122.026691,36.988568]]"
802,unsafe,,,,,,,,,,,,bike,"day, night","poor-bikelane, poor-street",,,,,,,,"bikelane, enforcement, other",,"7713-7799 Myrtle Ave, Eureka, CA, 95503, USA",11/4/2020,40.81208669,-124.084232,LineString,"[[-124.086424,40.809635],[-124.085383,40.810837],[-124.083838,40.812478],[-124.083431,40.812908],[-124.082015,40.814516]]"
803,unsafe,,,,,,,,,,,,"walk, bike, scooter","day, night","poor-sidewalk, poor-bikelane, poor-street, poor-lighting, poor-sign, driving-speed",,,,,,,,"speed, sidewalk, bikelane, pavement, lighting",,"407-499 Aptos Creek Rd, Aptos, CA, 95003, USA",11/5/2020,36.98261744,-121.902033,LineString,"[[-121.902258,36.977255],[-121.902623,36.978112],[-121.902816,36.978747],[-121.902387,36.979638],[-121.902688,36.980632],[-121.902602,36.981386],[-121.901894,36.982192],[-121.902044,36.982586],[-121.902924,36.982809],[-121.903353,36.983118],[-121.903718,36.984232],[-121.904211,36.985157],[-121.904876,36.986169],[-121.905177,36.9873]]"
